variation	verified_reviews	rating	date	feedback
Echo 4th Gen	I wish we never purchased this I hate the alexa! It never works! You ask it to simply turn on the fire stick and nothing happens. I don't know if it's the Alexa or the fire stick but every single day I have to go and unplug my fire stick at least two to three times to get it to turn on. It never understands what you're saying. When you let it know that it's not working it doesn't try to fix. It's horrible they need to fix it. When I got Alexa back when it first came out she would answer all these questions she was fun now she hardly knows anything I don't know what they did to her but they made her very stupid.	1	October 25, 2022	0
Echo 4th Gen	"Cons: it cannot Cast audio from my phone, does not work with Spotify app, Alexa app is incomprehensible, it shouts ""Now commented to XYZ!"" every time it connects to a device, it keeps flashing colors all day and night with no clear way to stop it, and setting up home theater pairing is bizarrely overcomplicated in the app.Pros: It pairs with the Fire Stick for a home theater setup and works perfectly. Alexa voice recognition is great. Audio quality is great."	2	October 25, 2022	0
Echo 4th Gen	Love this Echo. It is bigger than expected but it works great in our living room space. We have it so the kids are able to listen to music while they play games. I am able to set timers easily and the ease of allowing my kids to talk to Alexa is great. The only negative is there is no time display on this echo. It was easy to set up (as I have other Alexas/Echo) but other than that it was easy to install and set up. Had it playing my music within 3 mins of plugging it in.	4	October 25, 2022	1
Echo 4th Gen	First off I would give this premium sound echo 5 stars except the first one worked about 10 min before dying. Had to call Amazon on a Friday to arrange for return which was painless but….. The replacement arrived on Monday. The new echo premium sound really does kick. We also bought the battery stand so we could take it outside. This new combo is so great, just hope it lasts as long as our earlier versions.	4	October 25, 2022	1
Echo 4th Gen	Hubiera dado mejor puntuación si hubiera podido comprarlo en Amazon.  Aún siendo un producto de ustedes, para Puerto Rico nunca estuvo disponible para comprar y tuve que comprarlo en BestBuy.	4	October 24, 2022	1
Echo 4th Gen	"This is my second unit. The size is larger than ""a dot"". But, it also gives a richer bass sound than my other cylindrical shaped unit. When I set it up, it recognized the other unit in my home and designated itself #2. There are only 4 buttons imprinted onto the cover, + and- volume, turn on/ microphone and a third button that I don't yet know all's it's capabilities. The unit is in my basement workshop, which can be dusty. This is an issue since the entire cover is a black foam material which will hold dust. So, when I leave, I cover it with a small piece of plastic. The price was right, so I am happy with the system"	5	October 24, 2022	1
Echo 4th Gen	I live with this device everyday.  Was way better than I expected.  My friend came in and heard it and took it he liked it so much so I had to buy another one for me.  The sound quality is better than my bose unit.	5	October 24, 2022	1
Echo 4th Gen	1-year update and I have to say that this product is very inconsistent.  I mostly use this for listening to music.  Some days it will play perfect for hours.  Then the next day I can't get it to play a whole song without cutting out.  Unplug, restart, and it does it more.  Then Alexa doesn't respond correctly to audio commands.  I'm just about done with this junk.  It's an audio speaker and it can barely do that on it's best day.  Pair the subwoofer with it and multiply your headaches!!!  Sometimes it works, other times it don't... and then on the rare occasion, the SUBWOOFER will play music when the speaker won't.  VERY annoying!!!	1	October 24, 2022	0
Echo 4th Gen	It's a great upgrade from the echo	5	October 24, 2022	1
Echo 4th Gen	I Love this device! I was skeptical it would be helpful.  I got a deal on smart plugs and paired it with the Alexa Orb🤣 now we love playing music, cutting on lights throughout house, televisions, fans. We are old and not techy so this was a stretch for us. It’s SO easy to set-up and so useful I don’t know why I waited so long or how I got along without it. You will NOT be sorry you purchased. Buy smart plugs to to add to all your outlets. Cut on lights before you get home. LOVE it!	5	October 24, 2022	1
Echo 4th Gen	Alexa works fine as just alexa, but it won't integrate with my Smart TV.	4	October 24, 2022	1
Echo 4th Gen	Muy bueno y practico	5	October 24, 2022	1
Echo 4th Gen	I upgraded my old Amazon Echo to the new Echo, 4th generation.  I love the new design, choice of colors, and the ease of setting it up.  The sound quality is much improved, it is so good.  I'm glad I upgraded!	5	October 24, 2022	1
Echo 4th Gen	As I get older Alexa is very helpful to me and my wife to light areas that help in our safety and comfort.	5	October 24, 2022	1
Echo 4th Gen	fast and easy set up	5	October 24, 2022	1
Echo 4th Gen	This is a great device and addition for my smart home.	5	October 24, 2022	1
Echo 4th Gen	Love this generation ~ they just get better and better.  Super clear and superior sound quality.	5	October 24, 2022	1
Echo 4th Gen	La recomiendo	5	October 24, 2022	1
Echo 4th Gen	It works great as a simple Echo Dot, when it becomes to usability of the speaker capabilities it becomes almost impossible to use it, it change the volume by itself constantly, it keeps disconnecting, I contacted Amazon support and I spent an hour trying to solve the issues with no success, I need to highlight, the support team where very kind and they really tried to help.	2	October 24, 2022	0
Echo 4th Gen	Perfect size, GREAT SOUND, the 4th Generation Echo is a must own ! They are a great addition to any and every room of your home!	5	October 24, 2022	1
Echo 4th Gen	Very helpful with my questions, information on current situations. Has a answer for everything question.	5	October 23, 2022	1
Echo 4th Gen	The learning curve for me was learning how to talk correctly to Alexa to achieve expected results is ongoing.  You speak correctly = you get your results, but until you say it the way Alexa will recognise it = frustration.  However, all in all, yes I would recommend and if gifting,  make sure the person receiving has a lot of patience.  I do see the benifits associated with having an Echo once the learning curve has been navigated.  Hope this helps someone.	5	October 23, 2022	1
Echo 4th Gen	Design	5	October 23, 2022	1
Echo 4th Gen	I bought this Echo device for my living room/kitchen and did not want to bother with external speakers (line out or Bluetooth).  This echo sounds so good my wife thought that I had connected it to our 2.1 speakers.Got it on sale, and well worth the price.	5	October 23, 2022	1
Echo 4th Gen	Great quality speaker and looks nice  in any room	5	October 23, 2022	1
Echo 4th Gen	Nice clear sound	5	October 22, 2022	1
Echo 4th Gen	Maybe Amazon does it on purpose.  Bought the original Echo Plus years ago and, boy, did it get used in this family of nine.  Daughter mentioned it was finally showing its age (like me) so I got the newer one, plugged it in and that was it.  I plugged it in.  It automatically connected to Wifi and our Prime account and found all the other devices and kind of shooed me away when I was waiting to see what would happen.  Same with smart plugs.  Had an old Wemo and plugged it in and ran into all kinds of problems and instructions just to get it working with the Wemo app much less Alexa.  Swapped the Wemo plug with an Amazon plug and that's all it took.  Immediately showed up in my Alexa app.Yep.They're doing it on purpose.	5	October 22, 2022	1
Echo 4th Gen	The size is ok.  The sound is very good for the size.	5	October 22, 2022	1
Echo 4th Gen	"I found it difficult (during setup) to introduce this device (Echo Dot, 4th generation) to the three other ""dots"" (earlier version) for communicating ... I could ""drop in"" to the other dots (earlier version ""hockey pucks""), however, they (""bedroom, family room, garage, etc.) COULD NOT drop-in to Dot, 4the generation.  Technical help by phone resolved the issue, but I could not find any direction on how to fix this problem with any (text) documents and/or information on-line. Thanks to Emman F for his assistance."	3	October 22, 2022	1
Echo 4th Gen	This model sounds better then the one without premium sound.	5	October 22, 2022	1
Echo 4th Gen	In home convenience	4	October 22, 2022	1
Echo 4th Gen	I thought it would be a little better sound (But WOW),It was worth the money.	5	October 22, 2022	1
