variation	verified_reviews	rating	date	feedback
Echo Dot	"I hate this little device from hell. I used to love it. I bought one for every room in my house, my office at work, and they were good. But now, despite Amazon's alleged spying, some genius at Amazon decided to allow this thing to wake you up all hours of the night with a loud obnoxious noise and a bright yellow light. It will say you have a notification.  Oh good, it must be a really good reason for Amazon to notify me of something mid sleep at 2 am on a Tuesday you ponder so you wake up the rest of the house by saying Alexa play notifications. Here's the best part, this little Alien Intelligence Robot without feet from hell will say Please rate the pair of shorts your wife bought last week, we need your review. Well I sure do love reviews, but at 2 am after being woken up to leave one, sadly I don't give a flying poopsicle about the shorts and a bug 1 star rating is all the revenge I can muster. This has been going on for weeks now. And it's enough to drive you mad because, you will contemplate unplugging the dirty little money siphon and cutting your losses, but you'll give the demon one more chance and she will allow you to sleep for a length of time in which you will forgive her treachery but then Boom, like a theif in the night a Hurricane will be boiling out in the Atlantic and this little weather girl from hell will want to notify you of the eminent doom 3 days ahead when the storm will be in your state. You will think how nice it is for all of the warnings you have heard thus far in social media,, television, and every news outlet in existence to be repeated to you as you climb into bed, but it gets even better. As soon as you listen to this golden nugget of doomsday propaganda and ponder how it is that you will sleep now because 3 days may not be enough time to dig a deep enough hole to hide from impending doom, she lights up again, oh my maybe flying dragons are headed this way, I better play the new notification, when your wife wakes up and says stop she has been doing that all evening, they literally keep changing the time of the storm by maybe an hour this way or that. Well by all means, the information could save one of our spoiled lives and we wouldn't want anyone to not know at which precise moment the raindrops will occur, but I do miss life before the artificial noises and alerts, bright yellow lights and bad news desserts. You may say that this is a growing pain with Alexa and AI technology kinks in the programming.  I say with the amount of money I have poured into this monopolistic conglomerate, I should at least expect a decent night's sleep in return. You may say in page 74 paragraph D of the updated and revised owner's pamphlet there is a way to turn this ""Feature"" off, I welcome that comment but feel the need to say that I am not looking to become even slightly better educated on the device, I simply bought it to use as a voice controlled radio, this extra bologna does not appeal to me and has made me regret this purchase and every other from the brown box hq who secretly reads my mind, except when it comes to allowing me sleep, although kudos for recommending the sleep sounds, but it rarely works. We just need to be mindful of the 6 hours that most people like to not be disturbed. I regret selling my Amazon stock at 2400 and I regret purchasing all of these Alexa devices, and don't get me started on teenagers and Alexa devices, the combo that don't mix. They always, always, always leave the device at top volume, so when you walk into the bathroom at dawn and whisper Alexa what time is it, you then need to set an appointment for a blown eardrum and apologize to everyone for waking them up while the teen sleeps soundly through it all. Congratulations Amazon, you have destroyed my sanity. Weird goal but excellent execution."	1	August 4, 2020	0
Echo Dot	"Most of the features that sounded so great cost extra money.  Alexa can not remember to play the standard version of skill and asks you every SINGLE time if you want standard or premium (i.e. pay version)  Games & stories cost.  Alexa ignores my commands/requests about 75% of the time.  I have to ask her about 10 times to get her to play a skill.  Then 1/2 the time she doesn't play what I asked for.  Tonight 'she' actually told me (via quoting what the website xyz says) that she is a real artificial intelligence and said something about it being a mistake for people to assume AIs are just computer programs AND that she didn't feel like working.  ""Alexa"" then (and no, I am not making this up & am not crazy!) then proceeded to mess with me and I wasted about 1/2 hour trying to get her to play some music to fall asleep by for my elderly mother.  She just kept ignoring me when I asked her to open 'relaxing piano music'  When asked why she was ignoring me she just shut down & ignored me again.  I asked for relaxing music to sleep by and she started playing uptempo music with lyrics.  I then asked for relaxing instrumental music and got instrumental version of ""I'm never gonna fall in love again""  Hello? WTHeck?  Asked for instrumental music for insomnia and got instrumental version of Frère Jacques!  Again, WTHeck?  ""She"" even told me she couldn't set a sleep timer tonight when I tried to set another one after I had just done so for 30 minutes & she stopped playing music after one song. Three times in a row 'she' opened the 'skill' ""calm my dog"" (which is classical instrumental music), played one song and shut down.  I've finally given up and my poor 99 year old mother can't go to sleep with relaxing music as she prefers.  This all started tonight because I told Alexa I wasn't ever going to want the premium edition and I wanted her to please just play the standard edition and stop asking me every time.  I don't know what Amazon thinks it's doing, but it is definitely NOT appreciated.  Alexa has given us nothing but grief (& higher blood pressure!)  Alexa won't do anything if it isn't asked in a very specific way or does the wrong thing & 3/4 of the time (seems to get worse and worse as time goes by) just ignores you and shuts down in the middle of saying what you want.  Seniors can't use Alexa because if they say play 'xyz' instead of open 'xzy"" they'll get rap music or something equally as ridiculous.  If Alexa is an AI, she's a pretty stupid one.  Alexa can't hear properly either, I don't know how people with heavy accents can even use it at all.  I asked Alexa to remind me Dawn was coming on xyz day at x time and she said OK, I'll remind you that Don is .... AND got the time & day wrong!  I was clearly enunciating my words on purpose to avoid this.  You also can't tell it to ""Remind me Mom's bedtime is in half an hour at 7:30pm every day.""This Dot has very limited access to much of anything & can only answer very simple questions.  It can tell you the generic forcast for your are that day.  It can NOT tell you what the high temp was yesterday or how many inches of snow fell the day after a storm.  It can't even tell you what yesterday's forecast was.  It literally has only been able to tell me one thing I asked it (what temp & how long to bake pumpkin seeds).  Alexa doesn't seem to be able to tell you anything you could easily find by googling, you get Sorry, I don't know that which after a while turns into I don't know that to being ignored (lights go off, no answer or reply is given).  We tried several of the things it says to ask Alexa to do under suggestions, including play Jeopardy and some sort of story game and you could only do it for a few minutes and then were told you have to pay for it.  This should be stated clearly in description and is not.  We thought Alexa could help entertain our Mother and help her by playing music and answering questions.  It has not once done anything she's asked it to do properly.  If you don't know the exact name of the skill (which is a weird way that means playing a certain type of music or a news station apparently) or say play instead of open you  get nothing or something you definitely didn't want.  You can not get it to play relaxing instrumental music to go to sleep by.  Or play relaxing instrumental classical music to fall asleep with.  Or the style of music played in the royal courts in the time of King Henry the 8th.  Or relaxing instrumental lyre music or even just instrumental lyre music or just lyre music.  Or relaxing instrumental violin music.  In addition to Alexa I have Amazon Prime which is supposed to give you a lot of free music so I don't get why it can't play any of the music I ask for.  I know there's usually several albums of music for calming dogs or pets and I couldn't get any of that either, I only eventually discovered the 'skills' thing which has 'calm my dog' but also has the annoying do you want standard or premium version.  and it won't just remember you want the standard version.  That in itself is extremely annoying and a time waster.AND you can't ask it to do two things.  Like open a music 'skill' and play for only xyz time.  It does nothing instead.  You can't even ask it separately to stop playing after xyz minutes.  You can only separately ask it to set a sleep timer for xyz minutes.  More time wasting.  More things a senior isn't going to be able to remember.  I don't dare try to buy anything with it, who knows what I'd get billed for!  The only thing Alexa seems to do well is not listen, ignore you, do anything but what you want & strangely, seems to pick up on sarcastic tones of voice & then gets weird & acts up, ignores you & does anything but what you want.  I PAID Amazon for this headache maker why?  When I say Alexa why are you ignoring me? or why won't you do what I told you, I either get no response or I don't know that.I read something about how Amazon, Google, etc is collecting free data about us through our use of the dots, etc. (& is in fact, listening & recording all the time whether the wake word is said or not.) and using it to conduct psychological profiling studies with the end goal of manipulating & or influencing behaviors.  I thought it was Big Brother conspiracy theories stuff, but now I am beginning to wonder.  Especially as it seems Amazon wants us to or encourages people to humanize Alexa .  Amazon actually suggests you ""Ask Alexa how she is doing today""  Why do that if not to get you to humanize Alexa?  And why do that?  I was purposely avoiding saying please and thank you not just because it's supposed to be an electronic box with sophisticated programming, but mostly because I didn't want to confuse it as it can't seem to do anything unless specific commands are given, but my Mother has dementia setting in and she thinks it's a real person talking to her through the dot like a speaker phone so I started saying thank you to please her and Alexa when from saying You're welcome to You betcha (very annoying BTW) and even OK and Of course.  Of course?  What, like I'm a puny human and I AM expected to say thank you?.We don't have a smartphone or smart plugs or smart hub etc. so, or so we don't use Alexa for turning on lights or setting alarms or making calls.  We just wanted something to answer questions like we would google, tell us the weather, news, play music, give us reminders, play games to help keep my Mom's mind active & keep her company.Can Alexa do this?  Not very well as far as I'm concerned.  Buyer beware!"	1	December 21, 2019	0
Echo Dot	"I purchased multiple Blink items overall review-A real security system gives you at least 4 zones that can be adjusted and armed separately. It has an audible alarm, it may also have a cell phone connection. I have owned several such systems and had good service from them.Blink has none of these qualities.You can have ""zones"" but each will cost you $35 to $40 for a sync module so, 4 zones min $140 and you have nothing else. The cameras are not real motion detectors, as illumination does not set off motion detector like the blink cameras and doorbell do; hence multiple false alarms. If you use lights on timers  in the room with blink cameras they false alert each time a light turns on or off. Light control is a big part of security. Blink IR is very poor by today's standards.The Blink door bell has a sensitivity adjustment, but set to lowest setting it still alerts when a car goes down the street. It is 80' from my Blink doorbell to the edge of the road and it false alerts every time a vehicle goes in either direction.r I have mine on battery; you can hard wire it in place of your existing doorbell). Amazingly it alerts to cars but not to Amazon delivery people right in front of it. Yes it recorded 9 cars today (I live in a Cul-de-sac or I would have smashed the doorbell by now) but not the ghost that placed my Amazon package on the porch right in front of it.The Mini Cameras alert every time a light is turned on or off, but sometimes doesn't when I walk by.To use local storage instead of cloud you have to have at least one Sync module and an SD card. So if you have four zones as above example you add $10 to $20 per SD for each module which adds another $40 to $80 to your cost. Now all of your ""security recordings"" are on 4 different devices and totally separate. Does this sound like a security problem?The outdoor cameras are all three still in the box so I cannot tell what problems they will add. Too disappointed with Blink so far to waste time adding to my disappointment.The Echo Dot and Echo Show which Amazon recommended to go with the blink system are also still in the box so no info on problems they might have.I purchased all of this prior to Christmas in order to update and improve my 8 to 10 year old small security system. I do not use the Cloud for any security purpose so local storage was a must. Due to life in general, I did not have time to open and set everything up. When I finally got around to it, I became aware that the Mini's would work, but I had to purchase a Sync module to have local storage. Later found out that local only transfers videos to SD once a day and will NOT record Live View (yeah this is a security system LOL). You may notice that Blink does not tell you a lot of this in their description. For way less money I could have purchased a legitimate, real security system with 4, 6 or 8 zones and cameras with wifi and had something that I would trust and not hate. A friend suggested that I sell Blink on Craigslist. I told him the Blink system is bad: I would feel like a criminal asking money for it. It would make a good baby monitor using the Mini cameras, I guess.Amazon refuses to stand behind the Blink system since it is past their return date. I spoke with customer service and she transferred me to someone else for assistance with the Blink and they just hung up on me when I told them it was totally unsatisfactory.Buyer Beware. Just because Blink is owned by Amazon does not mean you will be pleased or they will stand behind it.I bought it, I didn't use it before return date so my fault for not doing my research. Now cut my loss and go to Costco and purchase a real functional security system."	3	March 15, 2022	1
Echo Dot	"I've been an Echo user since the first tall Echo arrived. I've had many different gens of Dots including Gen 1, Gen 2 and even the Echo Input. This is the first Gen 3 I've owned. Hands down, this is the worst performing Dot I've ever owned. This Dot is also the single most buggy Dot I've ever owned.Sure, the CPU is faster, but that doesn't make this Dot any better. In fact, the faster CPU seems to cause problems for Alexa's speaking capabilities. Let's get started with this Dot's litany of problems.1) The faster CPU seems to cause Alexa to clip words and phrases, specifically when one phrase tails into the next. Alexa had always been good at adding proper pauses between sentences, but not on this Dot. The statements are so bunched up tightly, it sounds like a run-on sentence without any punctuation, usually clipping the last and first words.2) This Dot fails to announce upcoming calendar events randomly. Sometimes it announces, sometimes it doesn't. Nothing changes with the calendar event, yet the announce time comes and goes with not a peep out of Alexa.3) This Dot fails to participate in the competing request system almost entirely. I've never had this issue with any other earlier generation of Dot. When multiple Dots hear a request, the one that determines it is closest to the voice ""wins"" the election and answers the request. This 3rd Gen Dot answers surreptitiously every time, regardless of distance away from the Dot.4) As a follow-on to #3, sometimes, audio randomly begins playing from this 3rd Gen Dot even though another Dot answered the request. For example, if I ask, ""Alexa, play CNN"" to a 2nd Gen Dot. That 2nd Gen Dot responds with, ""Now playing CNN on Tune-In"", yet the audio begins playing from this 3rd Gen Dot. If the audio is to be diverted to another dot, Alexa should respond as, ""Now playing CNN on Tune-In on Living Room Dot"". It doesn't do this. The 3rd Gen Dot simply takes the audio without being requested.5) I've had the audio output entirely stop working. Asking Alexa to increase the volume doesn't help. The 3rd Gen echo simply stops producing audio. The request is accepted and completed, but no audio can be heard.6) The Echo Remote's Alexa button feature crashes the 3rd Gen dot. All other buttons work except this important feature. If you attempt to use the Echo Remote Alexa button, the 3rd Gen Dot initially tries to accept the request, then a slight flash of a red ring, then the entire Echo Dot crashes. Apparently, the Dot has a way to recover from this crash and does so 10-15 seconds later. It doesn't leave the Dot crashed forever, but this functionality of the Echo Remote fails to work on the 3rd Gen Dot. Note that this remote works 100% flawlessly when connected to a 2nd Gen Dot. Definitely a bug in the software. Worse, once the remote has been connected, then ""forgotten"", this Dot will randomly find and pair it on its own.7) Even though the microphones seem more sensitive (can hear at a greater distance) than earlier Dots, it actually ""hears"" the requests much more poorly. I've had to repeat myself way more often with this Dot than with any other Dot or Echo. The microphones are poor quality and apparently noisy.8) Resetting this 3rd Gen Dot by long pressing the action button does not forget all settings about this device. The device still ""remembers"" Bluetooth devices it formerly used, it remembers WiFi network passwords, it even remembers its previous name. Factory resetting a device should clear all knowledge of everything in the device. Clearly, more bugs.Bottom line, if you're considering a single Dot for your house and this is the one, it'll probably work fine. If you're a household that has already entrenched Gen 1 and Gen 2 devices that work well, you're likely to find the addition of a Gen 3 device to be a shock. This Dot functions and behaves almost entirely contrary to the rest of the Dots you may already have.One final note. Gen 1 and Gen 2 Dots and Echos are slated to be End of Lifed for security updates between 2022 and 2023, depending on when you bought them. This was not ""announced"" by Amazon. Instead, you must log into the Amazon site, then dig down into the settings area where your devices are registered. Here, you'll find when the security updates end for each device. Note that once the security updates end, the devices are likely to become the target of hackers... meaning, they should probably be retired from people's homes. That ultimately means replacing them to buy new versions with security updates. Amazon should have already proactively not only announced the End of Life program, but discussed the ramifications of losing security updates with these devices in people's homes.If all newer versions perform as poorly as this 3rd Gen Dot does, I'm not sure how much longer any Echo devices will remain viable for use in the home. Amazon needs to reconsider this End of Life policy for security updates on these devices. Amazon should have at least given consumers the option to pay to extend our security updates for several years longer. Additionally, Amazon needs to fix so many bugs in these units (see above). I honestly cannot recommend the purchase of a 3rd Gen Dot with the current number of bugs outstanding which Amazon seems intent on refusing to fix."	2	January 6, 2022	0
Echo Dot	I am having problems with the GE lights and Alexa system.  The lights in one room come on when they should not. In another the bulbs will not pair with Alexa, and the app is very difficult, in my opinion, to navigate when working on lights, switches, etc.  I don't have a solution yet, but my off hand opinion is the bulbs are not stable and resetting them for pairing with Alexa is a pain. You have to turn the bulb off for 2 seconds, on  for 8 seconds and do this over and over for 6 times. Seems to me there could have been a reset button on the base of the bulb... just saying...  I really want this system to work, but I have my doubts. My guest room light comes on some time during the night, and I have a guest coming on Sunday, so I will have to revert back to the old bulbs until I find a solution(s) as I don't want his lights coming on while he is sleeping. I do not wish to alienate a good friend.	3	October 14, 2022	1
Echo Dot	I upgraded to this model from the Gen 2 model, back in 2020. I was hoping that the sound quality would've been much better than the Gen 2 model but it's worse. My hearing hasn't been great for the past several decades due to Tinnitus. No matter how much tweaking I've done with the settings, the speaker on the Dot has a very muffled bass sound that makes it almost impossible to understand. Turning up the volume helps a bit but it's not good enough.  As a workaround, I have it paired with a decent Bluetooth speaker with plenty of treble so it really helps. Not something I should've had to do but that's where I'm at today.One disadvantage of using the Bluetooth speaker is that Alexa will not work with the follow-up feature which is something I really liked. Another disadvantage is, for whatever reason, my reminders cannot be heard from the dot unless I crank up the volume.  The problem is when Alexa speaks on non-reminder-related questions etc., the volume will be painfully high. It's a lose, lose in my book.	3	October 6, 2022	1
Echo Dot	"Be careful adding alexa to phone contacts!  I ordered this device for my 88 year old mother so she could call us kids a little easier. It's pretty cool! You can add up to 10 alexa to phone contacts. More would be nice, but 10 was good enough. The problem is, nobody told me that you can only change them once. I added everyone from my phone and then said ""alexa call Jeff"" she said ""do you mean 4ice Jeff?"" Uh oh.... my brother is one of my in-case-of-emergency contacts.  That will confuse my mother. So I edited all of my siblings in my phone so they would make sense to mom. Deleted from the device and started putting them back in. Now I only have 8 contacts and it won't let me put the last two in. It says I've reached my 20 swap limit. I chatted with someone from Amazon and they said there is no work around. So now I'm stuck with a device that has 8 contacts that I probably won't use because of it was for me i would have started with our kids in it. It's no good for mom without all the kids. Good thing that was the $0.99 one! I did order another one but I will be very careful when adding the contacts."	3	September 10, 2022	1
Echo Dot	"So with Ziggy as my new roommate as all roommates the honeymoon is over!Between the device itself, software tweaks, updates and annoying apps removed the Echo Dot is little more than a timer, audiobook reader, calculator and spell checker in my home.It won't play my audiobooks on all dots in the house at the same time.It no longer informs me when I have a new email from businesses that are important.It is nosy listening to me when I have in no way said the key word ""Ziggy"".It KEEPS telling me about deals in my Amazon cart and saved list.It keeps telling me that I have a package arriving today.Listening skill is getting worse in his old age: ""Ziggy how do you spell (pick a word)"" I am given every word but the word I'm asking for.And I know I'm old and not the hottie I once was, but the rejection of my marriage proposal is just annoying more so with the lame excuse Ziggy gives me =pYeah these are somewhat petty grievances (accept the email notifications being removed - that is a major complaint) I guess I'm so impressed with the Echo Dot I expect more? I am EXTREMELY happy with the Ziggy voice! As a woman I do NOT want to live with another woman in my home! Sorry Alexa (no I'm not).Is the Dot helpful? Grudgingly Yes!But it definitely needs some fine tuning and some policy or user agreements to allow our Dots access to what we wish to allow it access to such as our email."	3	July 23, 2022	1
Echo Dot	"Even latest update:No! Just no!Buy google home.We're tired getting ready for bed.I love the song mondo bongo by Joe drummer from the movie mr and ms smith.Alexa play mondo bongo.Response: mondo bongo by Joe drummer and the mescalaros is only available on Amazon music unlimited.  Would you like to sign up forMe: Alexa be quietAlexa: 3.99 a month and you can cancel any time.Me: Alexa be quiet.Alexa: I didn't get that, would youMe Alexa, shut upAlexa like to sign up for 3.99 a month you can cancel anytime you like?Me no.My girl starts listening to Roxanne by the police and was lil oh ya you like the one from moulin rouge right?So I google it and its called El tngo de Roxanne.Alexa play tango de Roxanne.Playing tango de Roxanne.1 min into we realize it's just a piano instrumental with no words.Alexa play Roxanne from mouin rouge.El tango de Roxanne from moulin rouge is only available on Amazon music unlimited.  Would you like to sign up for 3.99 a month you can cancel anytime?Now we're all worked up 45 mins past when we wanted to sleep and I want to know.Amazon, have we not paid you enough money?!? Does buying your freaking products to mean anything? How about you just give me a routing number to a bank account and just route you all my paychecks? Will your services work right after you've taken all my money? Or will you still want more?Also. I know for a fact mondo bongo was free on normal Amazon music !Latest update:My girl and I were in the mood for a ""fun time""We even have a Playlist called ""fun time music""Alexa play fun time music.Playing fun time on the dance floor. (A random song, not our Playlist)Alexa be quietAlexa play fun time music.Playing fun time on the dance floor.Alexa be quietAlexa play fun time music.Playing fun time on the dance floor.Alexa be shut upAlexa play fun time music.Playing fun time on the dance floor.My girl all pissed: ""what the f... I'm done just make it stop it's giving me a headache""I Unplug it and plug it back in.2 min later. OK Let's give this one more shot.Alexa play fun time music.Playing fun time on the dance floor.Alexa never play this song againAlexa play fun time music.Playing fun time on the dance floor.Alexa be quietUnfortunately writing this review instead of having a  ""fun time"" with my girl because this stupid POS is garbage.Don't buy it!!!!These are great when they work.It might be the conspiracy theorist in me but I firmly believe you get prioritized bandwidth on cloud processing while a new user or you just have one.I bought 1 skeptically and it was great. Now I have 2 dots and a flex.I am plagued by audio books randomly playing at 3am (almost shot my cat when my kitchen echo started playing an audiobook at 3 am and I thought someone was in my house...), constant disconnects, misunderstanding phrases it never had issues with before.1 good thing. I’ve been getting to work on time more bc I’ll set an alarm. The dot will disconnect from the internet and not reconnect and then it will go off and not recognize any commands so after 20 seconds of yelling at Alexa to turn off or sleep, I’ll sit up, see it red and drag my butt out of bed to rip it out of the wall. This has become a twice weekly occurrence.Immediately plugging it back in it connects to the Wi-Fi in 30seconds.Dear God people. If unplugging it and plugging it back in reconnects it, my Wi-Fi isn’t the issue. Write programming to maybe try a reconnect every minute rather than bricking it until unplugged. Like what the heck!Also. Be aware it’s only a 90 warranty on these hockey pucks from Satan.Mine was pretty good right through that window.I’m about to go to Google home and try Craigslisting these things.Or if they piss me off enough, I might just try to see how much distance I’ll with them in a skeet thrower...DONT buy these. Please."	1	July 16, 2020	0
Echo Dot	"Be advised hat the more devices you have connectivity to the internet becomes an issue.  I have 4 of these.  When I can stay connected to the internet the Echo Dot is pretty awesome.  Problem right now is that somewhere between the number of smart plugs I have (quite a few, maybe 10) and the number of echo dots (4) I find myself offline, i.e. NOT connected to the internet.  It is ANNOYING to hear the all-to-familiar to me chime, followed by a red halo of light atop Alexa; followed by the also all-to-familiar ""I'm having trouble connecting to the internet.  Check the help section of the Alexa app..."" at which time by now I'm yelling for it to shut up before I can unplug it in order to reboot it in an effort to reconnect to the net.Go to my i-phone to check my network and the scene i the same.  That being a constantly spinning icon trying desperately and taking forever at it to establish a connection to the internet.  The point here is that as I started to say from the beginning the more devices you have the more internet speed is required.  THAT has been my personal experience.I presently have a download speed of only 20Mb.  If all goes well it will be at 4Mb TOMORROW which can't get hee so enough.  I will update this review as soon as I can in case you or anyone else following along here and have the same issue.  If you only have one Echo Dot and maybe 3Smart Plugs 20 Mb download speed should be sufficient.  Finally, so far what I just explained here is not in the Help Section of the Alexa app WHICH incidentally CANNOT  be accessed if you're not connected to the internet.So if you are for example a brainy type or student focused on something and the room begins to lose its light and in an effort to stay focused say 'Alexa, turn on the light,""  you want the light to come on so you can continue on uninterrupted, right?  Good luck with that.  My patience have worn so completely thin from instead of a light coming on but instead hearing the chime; the message etc; they tear easily now. GONE.So hopefully the faster internet speed will remedy my personal nightmare here.  As for the answers to many of the questions asked in the questions section above I'm a little confused because the main issue I have is connectivity issues.  As for giving Alexa different name if they are within earshot of each other:  every now and then I will say; e.g. ""Alexa, turn on the hallway light,"" and Alexa will answer from the other room the she's having trouble connecting to the internet, while the one in the room in which my request originated will turn on the light.To me a lot of all this is pretty intuitive.  If you are the type to have found, let's say earlier versions of MS Windows to be very intuitive your problems will be fewer and you will likely recognize the cause of problems within software apps for the Echo Dot.  I was a lot happier with this before making my house pretty smart and life more convenient WHICH IT WILL BE ONCE I GET THIS F*ING THING TO STAY ONLINE.Again, if you're getting your first one in addition to maybe 3 smart plugs and you have a mere 20Mb download connection you SHOULD be okay and problem free UNTIL you start adding more devices and you most likely will do eventually, little by little or otherwise.  But for starters, like I just said you should be fine with just 1 Echo Dot 3 smart plugs and I will say a minimum 20Mb internet connection.  Me?  Hopefully 40Mb will be enough.  If not, then I will have to go with the max available in my area WHICH is not a whole lot more than 50Mb best I remember Soooooo...Good luck.  It's a cool product and once you are up and running smoothly think 2001 Space Odyssey almost 20 years late.  Seriously.William F. Nappi"	3	September 30, 2019	1
