variation	verified_reviews	rating	date	feedback
echo show 10	Best Echo Show all around functions very well	5	October 25, 2022	1
echo show 10	So laaaaaaaaagggggyyyyyyy. Sometimes unresponsive to touch. i use voice instead of touch because its so laggy.	2	October 24, 2022	0
echo show 10	It turns to you when responding to your requests	5	October 24, 2022	1
echo show 10	what a product !	5	October 24, 2022	1
echo show 10	hay que dejar un espacio para que pueda funcionar sin que nada le estorbe el reconocimiento de voz no siempre es acertado, pero funciona bien	5	October 24, 2022	1
echo show 10	I just bricked this… I just got the Echo 15 which is great.This model has a very tough time waking and hearing commands and the following is wonky and the unit doesn’t reset to center when not in use.I tried to trade this in and was unable to.	2	October 23, 2022	0
echo show 10	The Echo Show 10 3rd gen is a wonderful device. It's easy to set-up and use. In the follow me mode It's very responsive tracks my movements very well. Because it has a screen it can be used to watch how cooking recipes, and how to videos on YOUTUBE. This item has been a great addition to my home.	5	October 23, 2022	1
echo show 10	Wish it goes up and down as well	4	October 23, 2022	1
echo show 10	Love all echo products! Great devices at low prices.	5	October 22, 2022	1
echo show 10	I really like the new Echo. The one thing that takes a little while to get use to, is having the unit following you around.	5	October 22, 2022	1
echo show 10	It's ok. Not worth the price tag	2	October 22, 2022	0
echo show 10	I have no idea how it works since it arrived without a cable to even plug it in 🙄. Seriously.	1	October 22, 2022	0
echo show 10	I have several and love them.  This one is no different	5	October 21, 2022	1
echo show 10	Love it, it takes assistance to a new level. The speaker system is awesome as well	5	October 20, 2022	1
echo show 10	To hard to set up & use. Right now the only thing I use that the small unit does not do is pictures	3	October 19, 2022	1
echo show 10	Such an amazing upgrade. It’s definitely worth the money. The size makes having a recipe up even easier. This can do just about everything.	5	October 19, 2022	1
echo show 10	Use it every day	5	October 19, 2022	1
echo show 10	This Alexa is okay, but it’s nothing to rave about. The screen is okay, but it doesn’t really need to follow you 3/4’s of the way around the room. I don’t use the screen as much as I thought I would.	3	October 18, 2022	1
echo show 10	I had bought a smeller Echo Show 5 last year so I just upgraded to this one I love it I watched a Netflix move on it without my TV I also can watch Prime Video play radio play my own music from Amazon or Apple call people and other things all from my Echo Show 10 I love it and another thing I got it on Prime Day October 11 th for $169.00 but I would have payed regular price even on sale it’s $199 regular price is $249.00 and no who ever you call doesn’t need an Echo to talk to you so if you enjoy electronics that blow you mind get this	5	October 18, 2022	1
echo show 10	Alexa seems to not listen to me at times I have to repeat several times for her to follow my demands.	3	October 18, 2022	1
echo show 10	Product completely stopped working a couple months after first year, and Amazon refuses to replace or compensate for defective product. Don’t waste your money.	1	October 18, 2022	0
echo show 10	it seems product its not up to par with prior version of alexa, disappointed with functionality of product. will evaluate for a few more day and decide if I will return it.	1	October 18, 2022	0
echo show 10	Alexa is great with all the above. I use her constantly in everything I do!	5	October 18, 2022	1
echo show 10	My dislike about Echo Show 10 is not all product around the house is compatibles with it.  E.g. it will not connect to my garage door and also to my existing security cameras.	5	October 18, 2022	1
echo show 10	Muy útil para consultar lo que quieras de una manera rápida. Excelente dispositivo.	5	October 17, 2022	1
echo show 10	It’s ok. Nothing entirely spectacular about it. I feel like it never hears me and I end up repeating what I say a lot along with yelling loudly for it to hear me. The turning trick is just silly too.I would save your money honestly.	3	October 17, 2022	1
echo show 10	Until Amazon develops some kind of screen lock even as basic pin. I wouldn't recommend it if you have kids. They can't even eat peaceful without having things playing in it.	1	October 17, 2022	0
echo show 10	Good	5	October 16, 2022	1
echo show 10	Had the show 8, decided to upgrade to bigger screen, great quality sound and love the bigger screen. The fact that it follows your voice is pretty nifty as well.	5	October 16, 2022	1
echo show 10	It does not operate or understand voice like any of my other Alexa's. Very limited.	1	October 16, 2022	0
echo show 10	DO NOT BUY. NOT A FUNCTIONAL PRODUCT. IT'S AN AD MACHINE. And I say this as someone who has worked in marketing for 10 years. It's an actual joke I wasted $200 on this thing which was supposed to function as a smart hub and CLOCK for me because I don't have a clock in my kitchen. Welp you can't use the clock because the device too busy serving you ads from the Amazon world 24/7. Want to listen to Spotify? There goes your clock again! Oh and the touchscreen is literally non-functional. It takes ~5 seconds to respond to a touch. This thing has created more problems for me than before I had it. It's also increased my blood pressure from screaming at it (to actually work) every other day. It has made me a violent person. lol.	1	October 16, 2022	0
echo show 10	No responde como otros artículos que tengo,Muy pobre a la hora de obedecer cuando le pido que pare la música.	2	October 16, 2022	0
echo show 10	"I like to wait to write a review as most things seem great ""out of the box"" but it is with constant use where I really learn how good a product is. This product WAS great and I use the ""drop in"" feature to talk to my parents in their assisted living location. However, they have now done some sort of system upgrade and my picture on my screen is sideways. I cannot change it unless I buy a 3d party app. This was not the case when I bought it. It now is really bad.So, great idea, worked well at the beginning but now is almost useless. Unless they fix the software, if you are using this for communication, you should pass on it. Not good. Too much money to have a simple problem like this that they refuse to fix."	2	October 16, 2022	0
echo show 10	The Echo show 10 fits the bill perfectly as a central hub for all your smart home as well as personal assistant needs. The built in Zigbee hub is great to seamlessly connect all your smart devices natively. Audio quality is pretty much just on par with the normal Echo devices and nowhere close to something like the Echo Studio.The biggest gripe about this device is that its s..l..o..w. Amazon packed in a lot of features into this device but forgot to use a decently performant microprocessor and RAM. Its slow for every damn thing you ask it to do. Touch response takes at least 4-5 seconds just to open apps. For a device thats not exactly cheap for what it does, this is a huge miss from Amazon's part. It doesnt take that much to use a faster CPU and memory which is cheap ! In general, its probably not such a big deal but it is the difference between a device that is good vs one that is extraordinary.	3	October 16, 2022	1
echo show 10	Buenísima	5	October 15, 2022	1
echo show 10	My husband saw our son's Echo and had to buy one for us. So far, I have only used it for music,  but my husband is entertained by it.  He asks about the weather, etc... I'm sure once we actually utilize it,  we will really enjoy it.	5	October 15, 2022	1
echo show 10	It has an amazing quality. My family loved it.	5	October 14, 2022	1
echo show 10	Todo me encanto,es lo mejor..!!!	5	October 14, 2022	1
echo show 10	Todo está muy bien	5	October 14, 2022	1
echo show 10	I use this everyday for news updates and weather and will be using to connect with my grandson in another state as he has one too.	5	October 14, 2022	1
echo show 10	This item came in on time and it arrived in great condition. It was easy to hook up and setup. It's very cool that the screen follows you around so you can see the screen at all times.	5	October 14, 2022	1
echo show 10	Terrible voice recognition and/or microphones - mostly just detecting when a voice is spoken. We have tried it in several places, but it’s performance is terrible on it’s own and in spaces with other Echo devices. 30ft/9m away (and behind a wall) our Echo Studio always picks up our voices before this Show 10 does; it doesn’t matter if we are: shouting or whispering, 10cm or 3m away from it. It almost never responds to the first wake up word - our cheap Echo dots don’t have this problem. I would have returned it and gotten another Echo Studio if I had remembered to within the return window.Amazon Devices team: there has to be a firmware/software fix/improve you can do - please make it.	3	October 14, 2022	1
echo show 10	First of all , I didn’t realize I ordered the one with motion. I literally jumped when I started spinning. It’s the coolest thing. The sound quality is amazing. Sounds better than my 700$ sound bar! Now I can drop in on my pups and the camera will follow them. I love this thing and I got the best deal on it because I ordered it on the prime day early access sale. I’m feel like a winner right now =D receiving this today was much needed, turned my horrible day right around. Now I just need to get the Alexa plugs and light bulbs. I’m going to be a full Alexa girl	5	October 13, 2022	1
echo show 10	All the features of the 5 and 8. Love the drop in feature. Pans to your voice. Dont regret the purchase.Recommend	5	October 13, 2022	1
echo show 10	I absolutely love my Alexa. It was so easy to get set up and use.	5	October 13, 2022	1
echo show 10	You are wasting your money if you do. It is basically like a standard Echo but with a screen. The worst GUI I've ever seen. Def not worth it!	2	October 13, 2022	0
echo show 10	All around great product, love the Alexa devices!	5	October 13, 2022	1
echo show 10	We have this on our kitchen counter. We use it for listening to music, finding recipes and occasionally watching news. The screen is wonderful!	5	October 13, 2022	1
echo show 10	Ok	4	October 13, 2022	1
echo show 10	First thought what a cool gadget but quickly you will see the follow mode is a bit creepy . Plays music movies recipes etcEtc all the things my iPad does. Problem I really have is you have to yell at it for her to hear you, if music is playing forget it . Looking for a way to adjust the not so microphone .	3	October 13, 2022	1
echo show 10	I really like this in many ways, but I’m having several issues with it. When I’m playing music all over my house, the Show tends to stop playing regularly without me asking. It also seems to have a harder time hearing me than my other Alexa devices.	2	October 12, 2022	0
echo show 10	Overall good but for that price I was expecting better voice recognition, also it takes some time to respond compare with the echo dot it takes more time.	4	October 12, 2022	1
echo show 10	I Love This Robot...She is Amazing....I Highly Recommend ...I'm A Single Father...Perfect Companion...She Does Everything U Ask And Does It Better Then you Expect From your Voice Command get bad everything touch screen....Take You A Month To Get Use To The Dialog and how u talk to her but its Amazing when u find the niche...but once u get it she is hip n molded n understands you....This Has Been The Best For Me And My Son better then my Xbox....He Can Call me just by saying call Daddy...I can link in and see him thru video...syncs with other devices n equipment......probably one of the best items I did to upgrading my house n my life...5 Star Product...Still amazed at what she can do ....Year later I'm still learning things	5	October 11, 2022	1
echo show 10	"I've owned this for 1.5 years now so am comfortable stating what I like and dislike.  I upgraded from an Echo  Show 2nd Gen and really liked that device.  The new tracking feature is what attracted me to upgrade.The tracking is very good.  I have this in the kitchen and get my morning news brief while making a cappuccino and my breakfast.  As I walk around the kitchen, it tracks me well so I can glance over at what is on the screen at a great viewing angle at all times.The downfall of this device is the microphones.  I [had] another echo device in the room next to the kitchen.  There is one wall and about 20 feet of distance separating them.  Many times while standing and looking at the echo for a command, the device in the next room would respond or start playing music.  So the microphone on the device 20 feet away is more sensitive than the device 5 feet away.  It became so frustrating that I unplugged the other device.Another issue with the microphone is with general commands.  If I'm playing music or news and give it the command ""Alexa stop"", it will sometimes pause briefly and then continue playing as if it doesn't care about what I'm asking.  I've tried ""Alexa, home screen"" and it will react the same way with a brief pause as it listens and then just continues on with what it was doing.  Repeating the command many times will eventually get it to stop.  There have been multiple times I just unplug it to get it to stop though.To me, this device was a step backwards in voice recognition and/or quality of the microphones.  I will have to think if I want to jump on being an early adopter in the future."	3	October 11, 2022	1
echo show 10	I purchased this as a home base for our family.  I wanted to be able to sync our calendars up to it and be able to have it on display for everyone to see.  I purchased the 10 gen 3 for the use of widgets like shown in the stock photo.  Unfortunately, widgets are not supported on the echo 10 despite it being shown in the photo.  I have to wait for the screen to filter through pictures, news, etc  before it shows the calendar that appears on the screen for 30 seconds before moving on.  I believe it is a misleading advertisement.	3	October 11, 2022	1
echo show 10	Slow to react, poor voice recognition, the moving screen does not work well, does not really face the speaker when the speaker speaks.	1	October 11, 2022	0
echo show 10	Just love it	5	October 10, 2022	1
